name,tackles,interceptions,clearances,errorLeadToGoal,team,age,ageCategory
Sergi Cardona,50,27,43,0,Las Palmas,24,young
Óscar Valentín,49,12,22,1,Rayo Vallecano,29,ideal
Samuel Costa,45,23,27,0,Mallorca,23,young
José Luis Gayà,43,4,18,0,Valencia,28,ideal
Alfonso Espino,43,18,28,0,Rayo Vallecano,31,veteran
Rubén Alcaraz,42,12,24,0,Cádiz,32,veteran
Thierry Correia,42,27,29,0,Valencia,24,young
João Cancelo,39,8,18,0,Barcelona,29,ideal
Pepelu,39,18,33,0,Valencia,25,young
Gavi,39,8,15,1,Barcelona,19,youth
Saúl Ñíguez,37,7,24,0,Atlético Madrid,29,ideal
Gastón Álvarez,33,25,46,0,Getafe,23,young
Dion Lopy,33,6,9,0,Almería,21,young
Damián Suárez,33,9,24,0,Getafe,35,veteran
Diego Rico,32,19,21,0,Getafe,30,veteran
Eduardo Camavinga,32,14,7,0,Real Madrid,21,young
Aihen Muñoz,32,8,28,0,Real Sociedad,26,ideal
Nemanja Maksimović,31,28,33,0,Getafe,28,ideal
Óscar Mingueza,31,7,15,1,Celta Vigo,24,young
Ander Guevara,31,6,19,0,Deportivo Alavés,26,ideal
Mika Mármol,30,15,55,0,Las Palmas,22,young
Adrià Pedrosa,30,9,17,0,Sevilla,25,young
Enzo Loiodice,30,8,10,0,Las Palmas,23,young
Ayoze Pérez,29,15,6,0,Real Betis,30,veteran
Yangel Herrera,28,11,27,0,Girona FC,25,young
Óscar de Marcos,28,7,10,0,Athletic Club,34,veteran
Hamari Traore,28,13,22,0,Real Sociedad,31,veteran
Manuel Sánchez,28,12,23,0,Celta Vigo,23,young
Sergio Ruiz Alonso,28,9,12,0,Granada,29,ideal
Toni Kroos,27,10,3,0,Real Madrid,33,veteran
Ivan Rakitić,27,10,10,0,Sevilla,35,veteran
Daniel Carvajal,27,14,17,0,Real Madrid,31,veteran
Juanlu Sánchez,27,5,9,0,Sevilla,20,youth
Martín Zubimendi,27,19,28,0,Real Sociedad,24,young
Alex Suárez,27,10,41,0,Las Palmas,30,veteran
Antonio Blanco,27,16,13,0,Deportivo Alavés,23,young
Iddrisu Baba,27,10,11,1,Almería,27,ideal
Juan Foyth,26,12,42,0,Villarreal,25,young
Marc Roca,26,12,9,0,Real Betis,27,ideal
Rubén Peña,26,12,19,0,Osasuna,32,veteran
Kirian Rodríguez,25,12,9,0,Las Palmas,27,ideal
Sergi Darder,25,10,3,0,Mallorca,29,ideal
Yéremy Pino,25,5,4,0,Villarreal,21,young
Iñigo Ruiz de Galarreta,25,6,8,0,Athletic Club,30,veteran
Iza Carcelén,25,10,41,1,Cádiz,30,veteran
Ignasi Miquel,25,20,66,0,Granada,31,veteran
Samuel Lino,24,5,7,0,Atlético Madrid,23,young
Mario Hermoso,24,16,42,0,Atlético Madrid,28,ideal
Mikel Merino,24,7,23,0,Real Sociedad,27,ideal
Jesús Navas,24,14,14,0,Sevilla,38,veteran
Adrián Embarba,24,9,3,0,Almería,31,veteran
Cristhian Mosquera,24,19,49,1,Valencia,19,youth
Dani Rodríguez,24,5,9,0,Mallorca,35,veteran
Giovanni González,24,6,14,0,Mallorca,29,ideal
Aleix García,23,19,26,0,Girona FC,26,ideal
Lucas Robertone,23,25,13,0,Almería,26,ideal
Lucas Ocampos,23,7,5,0,Sevilla,29,ideal
David López,23,13,33,1,Girona FC,34,veteran
Loïc Badé,23,16,50,0,Sevilla,23,young
Iván Martín,23,5,6,0,Girona FC,24,young
Ismaila Ciss,23,19,28,0,Rayo Vallecano,29,ideal
Javier Guerra,23,9,20,0,Valencia,20,youth
Jude Bellingham,22,10,8,0,Real Madrid,20,youth
Koke,22,8,8,0,Atlético Madrid,31,veteran
Guido Rodríguez,22,15,27,0,Real Betis,29,ideal
Mikel Vesga,22,14,21,0,Athletic Club,30,veteran
Gerard Gumbau,22,11,14,1,Granada,28,ideal
Andoni Gorosabel,22,12,23,0,Deportivo Alavés,27,ideal
Raúl Torrente,22,9,46,1,Granada,22,young
Federico Valverde,21,19,10,0,Real Madrid,25,young
Brais Méndez,21,5,6,0,Real Sociedad,26,ideal
Lamine Yamal,21,6,5,0,Barcelona,16,youth
Daley Blind,21,12,48,0,Girona FC,33,veteran
Julian Araujo,21,7,25,0,Las Palmas,22,young
Juan Iglesias,21,9,23,0,Getafe,25,young
Ander Herrera,21,8,5,0,Athletic Club,34,veteran
Rubén Duarte,21,10,19,0,Deportivo Alavés,28,ideal
Diego Lopez,21,9,1,0,Valencia,21,young
Munir El Haddadi,21,5,6,0,Las Palmas,28,ideal
Íñigo Lekue,21,4,18,0,Athletic Club,30,veteran
Carlos Benavídez,21,7,8,0,Deportivo Alavés,25,young
Dani Parejo,20,6,13,1,Villarreal,34,veteran
Unai Núñez,20,30,92,0,Celta Vigo,26,ideal
Oriol Romeu,20,6,12,0,Barcelona,32,veteran
Yan Couto,20,3,7,0,Girona FC,21,young
Daniel Vivian,20,12,58,0,Athletic Club,24,young
Étienne Capoue,20,14,16,0,Villarreal,35,veteran
Martin Valjent,20,23,63,0,Mallorca,28,ideal
Lucas Boyé,20,3,23,0,Granada,27,ideal
Jesús Areso,20,8,22,0,Osasuna,24,young
Luca De La Torre,20,5,10,0,Celta Vigo,25,young
Carlos Neva,20,7,38,0,Granada,27,ideal
Gonzalo Escalante,20,12,14,1,Cádiz,30,veteran
Jaume Costa,20,9,11,0,Mallorca,35,veteran
Iván Alejo,20,2,13,0,Cádiz,28,ideal
Sávio,19,5,2,0,Girona FC,19,youth
Rodrigo de Paul,19,2,2,0,Atlético Madrid,29,ideal
Aurélien Tchouaméni,19,14,13,0,Real Madrid,23,young
Carl Starfelt,19,20,98,1,Celta Vigo,28,ideal
Moi Gómez,19,6,7,0,Osasuna,29,ideal
David García,19,13,72,0,Osasuna,29,ideal
Jon Guridi,19,8,5,0,Deportivo Alavés,28,ideal
Aimar Oroz,19,7,4,0,Osasuna,22,young
Fali,19,13,58,0,Cádiz,30,veteran
Pablo Maffeo,19,6,12,0,Mallorca,26,ideal
Edgar González,19,11,51,0,Almería,26,ideal
Isco,18,6,2,0,Real Betis,31,veteran
Axel Witsel,18,7,48,0,Atlético Madrid,34,veteran
Germán Pezzella,18,19,72,0,Real Betis,32,veteran
Álvaro García,18,21,11,0,Rayo Vallecano,31,veteran
Sergio Akieme,18,7,18,0,Almería,26,ideal
Kike Pérez,18,4,5,0,Rayo Vallecano,26,ideal
Gorka Guruzeta,17,12,13,0,Athletic Club,27,ideal
Sergio Arribas,17,8,3,0,Almería,22,young
Renato Tapia,17,4,13,0,Celta Vigo,28,ideal
Djibril Sow,17,9,4,0,Sevilla,26,ideal
Ivan Balliu,17,18,34,0,Rayo Vallecano,31,veteran
Mouctar Diakhaby,17,5,47,0,Valencia,26,ideal
Nahuel Molina,17,4,11,1,Atlético Madrid,25,young
Alejandro Balde,17,5,19,0,Barcelona,20,youth
Arnau Martínez,17,5,20,0,Girona FC,20,youth
Toni Lato,17,7,7,0,Mallorca,26,ideal
Máximo Perrone,17,10,6,0,Las Palmas,20,youth
Javier Muñoz,17,9,9,0,Las Palmas,28,ideal
Fran Pérez,17,7,1,0,Valencia,21,young
Chumi,17,7,40,0,Almería,24,young
Darwin Machís,17,3,2,0,Cádiz,30,veteran
Alfonso Pedraza,17,7,12,0,Villarreal,27,ideal
Antoine Griezmann,16,6,8,0,Atlético Madrid,32,veteran
João Félix,16,7,5,0,Barcelona,24,young
Marcos Llorente,16,6,12,0,Atlético Madrid,28,ideal
Saúl Coco,16,10,51,0,Las Palmas,24,young
Isi Palazón,16,8,20,0,Rayo Vallecano,28,ideal
César Azpilicueta,16,11,21,0,Atlético Madrid,34,veteran
Gonzalo Villar,16,3,13,0,Granada,25,young
Chadi Riad,16,9,50,0,Real Betis,20,youth
Unai López,16,6,7,0,Rayo Vallecano,28,ideal
Óscar Trejo,16,3,6,0,Rayo Vallecano,35,veteran
Fran Beltrán,16,9,10,0,Celta Vigo,24,young
Lucas Pires,16,2,12,0,Cádiz,22,young
José Copete,16,7,17,0,Mallorca,24,young
Iñaki Williams,15,9,15,0,Athletic Club,29,ideal
Frenkie de Jong,15,6,9,0,Barcelona,26,ideal
İlkay Gündoğan,15,12,5,0,Barcelona,33,veteran
Pablo Barrios,15,14,7,0,Atlético Madrid,20,youth
Luis Rioja,15,8,12,0,Deportivo Alavés,30,veteran
Yuri Berchiche,15,8,19,0,Athletic Club,33,veteran
Florian Lejeune,15,9,68,0,Rayo Vallecano,32,veteran
Miguel Gutiérrez,15,6,32,0,Girona FC,22,young
Boubakary Soumaré,15,8,8,0,Sevilla,24,young
Eric García,15,12,23,0,Girona FC,22,young
Alejandro Catena,15,9,60,0,Osasuna,29,ideal
Kevin Vázquez,15,4,20,0,Celta Vigo,30,veteran
Antonio Sánchez,15,2,4,0,Mallorca,26,ideal
Igor Zubeldia,15,13,40,0,Real Sociedad,26,ideal
Manu Morlanes,15,4,4,0,Mallorca,24,young
Santi Comesaña,15,5,7,0,Villarreal,27,ideal
Houboulang Mendes,15,1,14,1,Almería,25,young
Gerard Moreno,14,4,11,0,Villarreal,31,veteran
Nico Williams,14,3,2,0,Athletic Club,21,young
Ante Budimir,14,3,8,0,Osasuna,32,veteran
Jules Koundé,14,7,41,0,Barcelona,25,young
