name,appearances,matchesStarted,minutesPlayed,yellowCards,redCards,rating,team,age,ageCategory
Jude Bellingham,14,14,1205,2,0,8.16,Real Madrid,20,youth
Aleix García,16,16,1440,1,0,7.76,Girona FC,26,ideal
Toni Kroos,16,10,974,2,0,7.59,Real Madrid,33,veteran
Gerard Moreno,14,13,1081,0,0,7.57,Villarreal,31,veteran
Ivan Rakitić,15,14,1268,5,0,7.55,Sevilla,35,veteran
Takefusa Kubo,16,14,1240,1,0,7.55,Real Sociedad,22,young
Iñaki Williams,17,17,1479,2,0,7.55,Athletic Club,29,ideal
Pedri,8,7,617,2,0,7.53,Barcelona,21,young
Andriy Lunin,6,6,540,0,0,7.52,Real Madrid,24,young
Rodrygo,16,13,1143,0,0,7.5,Real Madrid,22,young
Iago Aspas,17,15,1274,4,1,7.49,Celta Vigo,36,veteran
Frenkie de Jong,10,10,846,5,0,7.48,Barcelona,26,ideal
João Cancelo,14,13,1166,4,0,7.48,Barcelona,29,ideal
Antoine Griezmann,16,16,1309,3,0,7.46,Atlético Madrid,32,veteran
İlkay Gündoğan,17,15,1387,2,0,7.45,Barcelona,33,veteran
Federico Valverde,16,15,1298,1,0,7.44,Real Madrid,25,young
Álvaro Valles,16,16,1440,0,0,7.41,Las Palmas,26,ideal
Marc Guiu,1,0,11,1,0,7.4,Barcelona,17,youth
Isco,17,17,1414,5,0,7.38,Real Betis,31,veteran
Jeremías Ledesma,14,14,1249,0,0,7.36,Cádiz,30,veteran
Nico Williams,14,14,1077,2,0,7.36,Athletic Club,21,young
Daniel Carvajal,13,13,1090,1,0,7.35,Real Madrid,31,veteran
Filip Jörgensen,16,16,1440,1,0,7.34,Villarreal,21,young
Álex Remiro,17,17,1530,2,0,7.31,Real Sociedad,28,ideal
Jonathan Viera,9,7,619,1,0,7.3,Las Palmas,34,veteran
Vicente Guaita,8,7,692,2,0,7.3,Celta Vigo,36,veteran
Luis Javier Suárez,8,8,693,1,0,7.29,Almería,26,ideal
Rui Silva,8,8,675,1,0,7.29,Real Betis,29,ideal
Vedat Muriqi,12,12,1059,0,0,7.28,Mallorca,29,ideal
Lucas Robertone,14,13,969,5,0,7.27,Almería,26,ideal
Samuel Lino,12,7,683,0,0,7.27,Atlético Madrid,23,young
David Gil,3,2,191,1,0,7.27,Cádiz,29,ideal
Sávio,16,16,1316,2,0,7.26,Girona FC,19,youth
Kirian Rodríguez,16,15,1331,4,0,7.26,Las Palmas,27,ideal
Rodrigo de Paul,13,9,779,2,0,7.26,Atlético Madrid,29,ideal
Aurélien Tchouaméni,11,10,845,2,0,7.25,Real Madrid,23,young
Ante Budimir,17,14,1226,4,0,7.25,Osasuna,32,veteran
Vinícius Júnior,10,9,709,2,0,7.24,Real Madrid,23,young
João Félix,14,12,944,3,0,7.24,Barcelona,24,young
Pepelu,17,17,1505,2,0,7.24,Valencia,25,young
Artem Dovbyk,15,11,894,0,0,7.23,Girona FC,26,ideal
Brais Méndez,15,14,1205,5,0,7.23,Real Sociedad,26,ideal
Suso,12,7,638,2,0,7.23,Sevilla,30,veteran
Jules Koundé,14,13,1116,0,0,7.22,Barcelona,25,young
Gorka Guruzeta,17,16,1194,2,0,7.22,Athletic Club,27,ideal
Sergio Ramos,7,7,628,3,1,7.21,Sevilla,37,veteran
Paulo Gazzaniga,16,16,1440,2,0,7.21,Girona FC,31,veteran
Pablo Barrios,9,5,562,2,0,7.21,Atlético Madrid,20,youth
Sergi Cardona,16,13,1284,5,0,7.2,Las Palmas,24,young
Claudio Bravo,7,7,630,0,0,7.2,Real Betis,40,veteran
Luis Rioja,16,15,1268,3,0,7.19,Deportivo Alavés,30,veteran
Unai Simón,17,17,1530,2,0,7.18,Athletic Club,26,ideal
Luka Modrić,13,6,573,1,0,7.18,Real Madrid,38,veteran
Alejandro Baena,14,14,1068,4,1,7.17,Villarreal,22,young
David Soria,17,17,1530,2,0,7.17,Getafe,30,veteran
Mario Hermoso,15,15,1312,4,0,7.16,Atlético Madrid,28,ideal
Koke,13,13,932,4,0,7.16,Atlético Madrid,31,veteran
Marc-André ter Stegen,13,13,1170,1,0,7.15,Barcelona,31,veteran
Diego Rico,12,12,1069,5,0,7.15,Getafe,30,veteran
Antonio Raíllo,7,6,533,0,0,7.14,Mallorca,32,veteran
Lucas Ocampos,15,14,1212,4,0,7.14,Sevilla,29,ideal
Gavi,12,10,943,5,0,7.13,Barcelona,19,youth
David Alaba,13,13,1121,2,0,7.13,Real Madrid,31,veteran
Borja Mayoral,17,16,1345,2,0,7.13,Getafe,26,ideal
Stole Dimitrievski,17,17,1530,1,0,7.13,Rayo Vallecano,29,ideal
Ronald Araújo,11,8,841,2,0,7.13,Barcelona,24,young
Sergi Darder,15,11,1103,1,0,7.13,Mallorca,29,ideal
Saúl Ñíguez,16,8,763,2,0,7.12,Atlético Madrid,29,ideal
Sandro Ramírez,6,5,458,0,0,7.12,Las Palmas,28,ideal
David López,13,13,1080,3,0,7.12,Girona FC,34,veteran
Mikel Merino,14,12,1095,4,0,7.11,Real Sociedad,27,ideal
Robert Lewandowski,15,13,1197,3,0,7.11,Barcelona,35,veteran
Iñigo Martínez,8,6,552,2,0,7.11,Barcelona,32,veteran
Yuri Berchiche,11,8,711,2,0,7.11,Athletic Club,33,veteran
Raphinha,13,6,531,1,1,7.11,Barcelona,27,ideal
Eduardo Camavinga,13,9,751,3,0,7.11,Real Madrid,21,young
Lamine Yamal,17,7,766,1,0,7.11,Barcelona,16,youth
Viktor Tsygankov,14,12,957,0,0,7.1,Girona FC,26,ideal
Luis Milla,7,5,472,3,0,7.1,Getafe,29,ideal
Tanguy Nianzou,2,1,89,0,0,7.1,Sevilla,21,young
Juanlu Sánchez,10,7,638,2,0,7.09,Sevilla,20,youth
Álvaro Morata,15,13,1095,1,1,7.09,Atlético Madrid,31,veteran
