name,bigChancesCreated,assists,accuratePasses,accuratePasses%,keyPasses,team,age,ageCategory
Iago Aspas,10,4,411,80.75,52,Celta Vigo,36,veteran
Takefusa Kubo,8,3,270,79.88,29,Real Sociedad,22,young
Roger Martí,8,2,144,65.45,10,Cádiz,32,veteran
İlkay Gündoğan,7,3,999,90.16,37,Barcelona,33,veteran
Isco,7,2,655,86.07,51,Real Betis,31,veteran
Sávio,7,5,347,83.01,21,Girona FC,19,youth
Alejandro Baena,7,5,395,81.95,33,Villarreal,22,young
Saúl Ñíguez,7,5,338,85.79,9,Atlético Madrid,29,ideal
Viktor Tsygankov,7,3,292,82.95,18,Girona FC,26,ideal
Marcos Llorente,7,2,372,81.58,14,Atlético Madrid,28,ideal
Largie Ramazani,7,4,112,63.64,14,Almería,22,young
Iñaki Williams,6,3,316,73.49,28,Athletic Club,29,ideal
Pedri,6,0,395,86.62,20,Barcelona,21,young
Nico Williams,6,5,231,79.66,30,Athletic Club,21,young
Luis Rioja,6,3,250,72.25,22,Deportivo Alavés,30,veteran
Lamine Yamal,6,1,275,86.48,12,Barcelona,16,youth
Miguel Gutiérrez,6,1,530,87.75,16,Girona FC,22,young
César Azpilicueta,6,1,514,86.97,9,Atlético Madrid,34,veteran
Diego Lopez,6,1,227,65.99,21,Valencia,21,young
Aleix García,5,4,1116,91.63,29,Girona FC,26,ideal
Toni Kroos,5,5,1022,94.37,30,Real Madrid,33,veteran
Gerard Moreno,5,2,382,79.75,24,Villarreal,31,veteran
João Cancelo,5,1,660,84.4,20,Barcelona,29,ideal
Brais Méndez,5,3,458,83.88,20,Real Sociedad,26,ideal
Suso,5,1,264,86.84,18,Sevilla,30,veteran
Luka Modrić,5,2,481,89.91,15,Real Madrid,38,veteran
Sergi Darder,5,3,285,75.8,25,Mallorca,29,ideal
Raphinha,5,4,218,81.34,17,Barcelona,27,ideal
Mason Greenwood,5,4,215,82.69,13,Getafe,22,young
Gerard Gumbau,5,2,519,77.12,20,Granada,28,ideal
Adrián Embarba,5,0,248,72.73,21,Almería,31,veteran
Antoine Griezmann,4,2,514,82.64,25,Atlético Madrid,32,veteran
Federico Valverde,4,2,855,90.86,27,Real Madrid,25,young
Vedat Muriqi,4,2,172,63.94,22,Mallorca,29,ideal
Samuel Lino,4,2,240,81.91,12,Atlético Madrid,23,young
João Félix,4,2,312,85.01,13,Barcelona,24,young
Artem Dovbyk,4,4,94,70.68,10,Girona FC,26,ideal
Diego Rico,4,5,307,66.88,20,Getafe,30,veteran
Ayoze Pérez,4,1,244,80.53,15,Real Betis,30,veteran
Oihan Sancet,4,4,383,84.92,27,Athletic Club,23,young
Johan Mojica,4,1,311,79.74,12,Osasuna,31,veteran
Yan Couto,4,4,312,82.32,13,Girona FC,21,young
Álex Berenguer,4,1,99,72.79,14,Athletic Club,28,ideal
Manuel Sánchez,4,2,279,77.5,10,Celta Vigo,23,young
Fran Pérez,4,3,238,81.23,12,Valencia,21,young
Carlos Neva,4,1,432,75.26,10,Granada,27,ideal
Alfonso Pedraza,4,2,247,80.46,14,Villarreal,27,ideal
Ivan Rakitić,3,1,650,80.55,45,Sevilla,35,veteran
Lucas Robertone,3,4,458,82.97,19,Almería,26,ideal
